"Статус сверки";"Артикул";"Номенклатура Excel";"Номенклатура 1С";"Единица Excel";"Единица 1С";"Тип Excel";"Вид номенклатуры 1С";"Тип номенклатуры 1С";"Плановая цена Excel";"Плановая цена 1С";"Дата цены 1С";"Ассортимент Excel";"Ассортимент 1С";"Группировка бренда Excel";"Группировка бренда 1С"
"OK";"SKIN022";"SKINJESTIQUE Пенка с кислотами, 150 мл";"SKINJESTIQUE Пенка с кислотами, 150 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"64.900000000000006";"64,9";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"19LAB002";"19LAB professional Гидрофильное масло для умывания с витамином Е для всех типов кожи, 150 мл";"19LAB professional Гидрофильное масло для умывания с витамином Е для всех типов кожи, 150 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"77.66";"77,66";"2025-08-27T15:57:39";"ВЫВЕДЕНО";"ВЫВЕДЕНО";"СТМ";"СТМ"
"OK";"LAB001";"19LAB Крем-спрей, 200 мл";"19LAB Крем-спрей, 200 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"42.15";"42,15";"2025-12-17T16:23:50";"АРХИВ";"АРХИВ";"СТМ";"СТМ"
"OK";"19LAB003";"19LAB Шампунь корректор цвета, 250 мл";"19LAB Шампунь корректор цвета, 250 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"51.54";"51,54";"2025-08-27T15:57:39";"ВЫВЕДЕНО";"ВЫВЕДЕНО";"СТМ";"СТМ"
"OK";"2M004";"2MOOD Антицеллюлитное масло для тела, 150 мл";"2MOOD Антицеллюлитное масло для тела, 150 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"ВЫВЕДЕНО";"ВЫВЕДЕНО";"СТМ";"СТМ"
"OK";"2M001";"2MOOD Антицеллюлитный скраб LIKE A DIAMOND, 300 мл";"2MOOD Антицеллюлитный скраб LIKE A DIAMOND, 300 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"ВЫВЕДЕНО";"ВЫВЕДЕНО";"СТМ";"СТМ"
"OK";"2M002";"2MOOD Баттер для тела Манго, 300 мл";"2MOOD Баттер для тела Манго, 300 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"ВЫВЕДЕНО";"ВЫВЕДЕНО";"СТМ";"СТМ"
"OK";"2M006";"2MOOD Кондиционердля защиты и блеска волос GLOWFY, 300 мл";"2MOOD Кондиционердля защиты и блеска волос GLOWFY, 300 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"ВЫВЕДЕНО";"ВЫВЕДЕНО";"СТМ";"СТМ"
"OK";"2M005";"2MOOD Маска для защиты и блеска волос GLOWFY, 300 мл";"2MOOD Маска для защиты и блеска волос GLOWFY, 300 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"ВЫВЕДЕНО";"ВЫВЕДЕНО";"СТМ";"СТМ"
"OK";"2M003";"2MOOD Увлажняющий крем для тела EASY CARE, 300 мл";"2MOOD Увлажняющий крем для тела EASY CARE, 300 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"ВЫВЕДЕНО";"ВЫВЕДЕНО";"СТМ";"СТМ"
"OK";"2M007";"2MOOD Шампунь для защиты и блеска волос GLOWFY, 300 мл";"2MOOD Шампунь для защиты и блеска волос GLOWFY, 300 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"ВЫВЕДЕНО";"ВЫВЕДЕНО";"СТМ";"СТМ"
"OK";"ING005";"305 by Miami Stylists Дисциплинирующий спрей для волос, 200 мл";"305 by Miami Stylists Дисциплинирующий спрей для волос, 200 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"ВЫВЕДЕНО";"ВЫВЕДЕНО";"СТМ";"СТМ"
"Не найдено в 1С";"ING001";"305 by Miami Stylists Мусс для душа «Мягкое прикосновение» SOFT TOUCH, 400 мл";"";"шт";"";"Готовая продукция";"";"";"";;"";"ВЫВЕДЕНО";"";"СТМ";""
"OK";"ING002";"305 by Miami Stylists Несмываемый спрей для гладкости и блеска волосREPAIR BOOSTER, 200 мл";"305 by Miami Stylists Несмываемый спрей для гладкости и блеска волосREPAIR BOOSTER, 200 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"ВЫВЕДЕНО";"ВЫВЕДЕНО";"СТМ";"СТМ"
"OK";"ING003";"305 by Miami Stylists Спрей для прикорневого объема волос и текстуры VOLUME BOOSTER, 200 мл";"305 by Miami Stylists Спрей для прикорневого объема волос и текстуры VOLUME BOOSTER, 200 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"ВЫВЕДЕНО";"ВЫВЕДЕНО";"СТМ";"СТМ"
"Не найдено в 1С";"ING004";"305 by Miami Stylists Спрей текстурирующий с морской солью SEA SALT SPRAY, 200 мл";"";"шт";"";"Готовая продукция";"";"";"";;"";"ВЫВЕДЕНО";"";"СТМ";""
"OK";"ING007";"305 Miami SPA Cолевой скраб для тела Скульптор, 250 мл/Sculpture Body Epsom Salt Lifting Scrub";"305 Miami SPA Cолевой скраб для тела Скульптор, 250 мл/Sculpture Body Epsom Salt Lifting Scrub";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"ВЫВЕДЕНО";"ВЫВЕДЕНО";"СТМ";"СТМ"
"OK";"REPTC7";"305 Miami SPA Крем-спрей для волос с маслом авокадо и пантенолом 200 мл/305 Miami SPA Repair booster termo cream, 200 ml";"305 Miami SPA Крем-спрей для волос с маслом авокадо и пантенолом 200 мл/305 Miami SPA Repair booster termo cream, 200 ml";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"37.619999999999997";"37,62";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"NCBL9";"305 Miami SPA Лосьон для тела питательный, 250 мл/305 Miami SPA Nutrition body relax lotion";"305 Miami SPA Лосьон для тела питательный, 250 мл/305 Miami SPA Nutrition body relax lotion";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"42.88";"42,88";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"RELF6";"305 Miami SPA Пенка для умывания, 160 мл";"305 Miami SPA Пенка для умывания, 160 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"ING008";"305 Miami SPA Питательный баттер для тела, 250 мл/Nutrition care Body Butter";"305 Miami SPA Питательный баттер для тела, 250 мл/Nutrition care Body Butter";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"63.84";"63,84";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
