"sku","shippedQty","actualRevenue","actualGp"
"SM0099","12077","679776,71","241056,92"
"SK024","9997","1563055,53","531140,61"
"SK023","9952","1489618,62","533725,76"
"MILL007","9920","1005985,57","284704"
"SK027","7874","1207755,42","439526,68"
"SK028","7557","1243126,5","448659,09"
"SK031","7404","842599,48","307340,04"
"SM0100","6110","290024,67","18635,5"
"BEST020","4662","759141,74","223944,14"
"SM001","3841","202439,59","90320,8"
"SM0097","3701","247087,25","27239,36"
"SM0101","3694","151968,74","75909,28"
"FLAX001","2879","496745,49","242987,6"
"HS213","412","16851,48","8541,44"
"HS217","384","15706,23","7960,95"
"SK026","383","59882,99","21922,92"
"STRD005","19","17556,16","11329,7"
