"Sku","Name","Qty","Rev","Rows","Ops"
"HEALTH001","KOTTUR Крем воск от трещин с секретом мягкости, 100 мл","16510","1357340","7","ОтчетДавальцу2_5"
"SM0099","Semily Сыворотка для лица с витамином С и экстрактом юзду для сияния кожи C-VIT SERUM , 30 мл","12077","679777","1","ОтчетДавальцу2_5"
"SK024","SOKOLOV Румяна для лица Fatal, 20 мл","9997","1563056","2","ОтчетДавальцу2_5"
"SK023","SOKOLOV Румяна для лица Charming, 20 мл","9952","1489619","2","ОтчетДавальцу2_5"
"MILL007","MILLIMO  Маска для волос, 300 мл","9920","1005986","8","ОтчетДавальцу2_5"
"SK027","SOKOLOV Румяна для лица Wild, 20 мл","7874","1207755","2","ОтчетДавальцу2_5"
"SK028","SOKOLOV Румяна для лица Posh, 20 мл","7557","1243126","2","ОтчетДавальцу2_5"
"SK031","SOKOLOV Мягкий крем-гель для умывания Pure Luxury Cleansing Gel, 150 мл","7404","842599","3","ОтчетДавальцу2_5"
"PAC00323","Туба BTF0558 BEAT MY AGE Омолаживающий мезо пилинг-скатка, D 35 мм, высота 120 мм, объем 75 мл","6910","6117","1","РеализацияКлиенту"
"PAC00363","Флакон ПНД 1000 мл В.1000/535 Оранжевый 2.043.РЕ ""Hi Repair ШАМПУНЬ""","6357","6565","1","РеализацияКлиенту"
"SM0100","Semily Крем для лица с витамином С и экстрактом юзду для сияния кожи C-VIT CREAM, 50 мл","6110","290025","1","ОтчетДавальцу2_5"
"KN060_D","KÖNNER ДСИЗ Паста-скраб с натуральным абразивом для очистки кожи рук и тела ""KÖNNER GROSS"" , 200 мл","5500","368500","1","РеализацияКлиенту"
"JELAI002","JELAI Масло для тела с шиммером SILVER AURORA, 30 мл","4938","262321","1","ОтчетДавальцу2_5"
"BEST020","BESTLAND Двухфазный спрей для тела с SPF30, 200 мл","4662","759142","1","ОтчетДавальцу2_5"
"SM001","Semily Спрей ароматический, 150 мл","3841","202440","2","ОтчетДавальцу2_5"
"SM0097","Semily Гель для умывания с витамином С и экстрактом юзду для сияния кожи С-VIT CLEANSING GEL, 200 мл","3701","247087","1","ОтчетДавальцу2_5"
"SM0101","Semily Несмываемый крем-гель для сияния кожи лица VIT-C GEL CREAM, 50 мл","3694","151969","1","ОтчетДавальцу2_5"
"PAC00365","Флакон ПНД 1000 мл В.1000/535 Сиреневый 6.052.РЕ ""Hi Volume КОНДИЦИОНЕР""","3430","3542","1","РеализацияКлиенту"
"FLAX001","FLEX Сыворотка с SPF Serum, 30 мл","2879","496746","3","ОтчетДавальцу2_5"
"KM004","Кудрявый метод Крем для кудрявых волос, 300 мл","2117","1016338","28","РеализацияКлиенту"
"KM010","Кудрявый метод Кастард ""Фиксация-увлажнение"" для кудрявых волос, 250 мл","1621","690255","25","РеализацияКлиенту"
"ZWSS006","ZEITUN Лосьон-автозагар постепенного действия ""Ритуал Солнца"" 200 мл","1618","991416","14","РеализацияКлиенту"
"KM026","Кудрявый метод Шампунь для кудрявых волос Сакура, 475 мл","1426","662156","27","РеализацияКлиенту"
"KM028","Кудрявый метод Гель для укладки кудрявых волос Сакура, 300 мл","1393","622592","30","РеализацияКлиенту"
"KM003","Кудрявый метод Гель для укладки кудрявых волос, 300 мл","1322","552098","25","РеализацияКлиенту"
"KM005","Кудрявый метод Фиксирующая пенка для кудрявых волос, 150 мл","1303","508523","29","РеализацияКлиенту"
"Z1430","ZEITUN Масло для тела ""Розовое золото"", 100 мл","1265","776717","16","РеализацияКлиенту"
"KM014","Кудрявый метод Пенка уверенной фиксации для кудрявых волос, 150 мл","1255","549024","24","РеализацияКлиенту"
"KM001","Кудрявый метод Шампунь для кудрявых волос, 475 мл","1242","544303","27","РеализацияКлиенту"
"KM027","Кудрявый метод Кондиционер для кудрявых волос Сакура, 475 мл","1228","590908","36","РеализацияКлиенту"
"KM013","Кудрявый метод Текстурирующий спрей для объема кудрявых волос, 150 мл","1099","463388","26","РеализацияКлиенту"
"KM002","Кудрявый метод Кондиционер для кудрявых волос, 475 мл","1072","476247","23","РеализацияКлиенту"
"BTF0285","BEAUTIFIC HYDRATE ME SO Фиксатор для макияжа, 50 мл","1056","181009","11","РеализацияКлиенту"
"KN054_D","KÖNNER ДСИЗ Защитный крем для кожи рук и лица ""KÖNNER MULTI"", 100 мл","1000","36000","1","РеализацияКлиенту"
"ZWRV008","ZEITUN Масло для тела ""Ритуал восстановления"". Мерцающее с аргановым маслом. 100мл.","935","533691","50","РеализацияКлиенту"
"Z6402","ZEITUN Дезодорант ""Дамасская роза"". Минеральный, шариковый. С коллоидным серебром, 50мл.","730","105841","12","РеализацияКлиенту"
"Z1431","ZEITUN Масло для тела ""Белое золото"", 100 мл","724","467884","13","РеализацияКлиенту"
"KM011","Кудрявый метод Маска-водоросли увлажняющая для кудрявых волос, 250 мл","714","337586","18","РеализацияКлиенту"
"Z0290","ZEITUN Парфюмированный мист с шиммером Limited Collection ""Gorgeous Peony"", 150 мл","549","270750","16","РеализацияКлиенту"
"ZWSE004","ZEITUN Крем для тела ""Ритуал соблазна"". Чувственный с жасмином и натуральным афродизиаком, 200мл.","524","185340","42","РеализацияКлиенту"
"Z6405","ZEITUN Дезодорант ""Цитрус"". Минеральный, шариковый. С коллоидным серебром, 50 мл.","508","68908","4","РеализацияКлиенту"
"KN053","KÖNNER ДСИЗ: Защитный крем для кожи рук и лица  гидрофильного действия ""KÖNNER TECHNO"", 100мл","500","25000","1","РеализацияКлиенту"
"ZWRV010","ZEITUN Шампунь для поврежденных волос ""Ритуал восстановления""С аргановым маслом и кератином, 250мл.","481","72812","6","РеализацияКлиенту"
"Z6270","ZEITUN Тоник для лица LULU. Энергетический и pH-балансирующий для тусклой кожи, 200 мл","470","72607","9","РеализацияКлиенту"
"Z2923","ZEITUN Wedding Day Тоник для лица, 200 мл","450","59016","2","РеализацияКлиенту"
"KM012","Кудрявый метод Шампунь-крем для кудрявых волос, 300 мл","445","179120","17","РеализацияКлиенту"
"Z2934","ZEITUN Wedding Day Скраб для тела, 250 мл","434","162380","38","РеализацияКлиенту"
"ZWSS002","ZEITUN Масло для усиления загара ""Ритуал Солнца"" 200 мл","425","222079","12","РеализацияКлиенту"
"HS213","SEKTA BARBER Моделирующий крем для мягкого контроля и подвижной формы, 100 мл","412","16851","1","ОтчетДавальцу2_5"
"Z6222","ZEITUN Крем-совершенство LULU для идеального тона лица, 50 мл","404","96492","3","РеализацияКлиенту"
"Z2619","ZEITUN Пудра рассыпчатая №1 (светлая) минеральная, натуральная, 50 мл NEW","398","65246","1","РеализацияКлиенту"
"BTF0252","BEAUTIFIC Лосьон для постепенного загара для тела, 150 мл","385","154375","10","РеализацияКлиенту"
"Z1705","ZEITUN Дезодорант ""Нейтральный"". Антиперспирант без запаха, 150мл.","385","60698","11","РеализацияКлиенту"
"HS217","SEKTA BARBER Матовая паста для фиксации формы, 100 мл","384","15706","1","ОтчетДавальцу2_5"
"SK026","SOKOLOV Румяна для лица Extraordinary, 20 мл","383","59883","1","ОтчетДавальцу2_5"
